,Dónde estás trabajando,Cantidad de personas en tu organización,Actividad principal,Salario mensual o retiro BRUTO (en tu moneda local),Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Plataformas,Lenguajes de programación o tecnologías.,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,Beneficios extra
891,La Rioja,2001-5000,Otras industrias,5971,7277,7762,9636,8750,"HP-UX,SAP","Matlab,Python,Scala","Hadoop,SwiftUI","Google Cloud Storage,Microsoft SQL Server,Oracle,PostgreSQL","OpenQA,Postman","Komodo,Sublime Text,Vi",Viáticos
892,Entre Ríos,5001-10000,Producto basado en Software,2411,4242,8696,5722,8108,"Azure,*BSD",".NET,Arduino,Dart,Go,HTML","Akka,Django","Microsoft SQL Server,PostgreSQL,Sybase","Cucumber,Cypress,Lippia,OpenQA,Test Complete,Watir","Emacs,Nano,Notepad++,TextMate","Abono de Internet,Clases de idiomas,Sueldo divido en dos pagos por mes"
893,Salta,101-200,Servicios / Consultoría de Software / Digital,4793,838,1970,2734,1616,"Amazon Web Services,Firebase","Assembler,Ruby","Akka,Spark",,,"NetBeans,PHPStorm,RStudio,Sublime Text,WebStorm",Horarios flexibles
894,Chubut,2001-5000,Producto basado en Software,246,2355,557,2459,2066,"Docker,Google Cloud Platform/App Engine,HP-UX,Linux","Assembler,Bash/Shell","Akka,React.js","HANA,IBM Db2,Teradata","Cucumber,Cypress,Mocha,Silktest,TFS","Nano,NetBeans,Sublime Text,WebStorm",
895,Provincia de Buenos Aires,201-500,Servicios / Consultoría de Software / Digital,9558,89,1103,17,8482,OpenStack,,"Cordova,Vue.js","Amazon RDS/Aurora,ProxySQL","Jest,Postman,RSpec","Android Studio,Emacs,Komodo,Nano","Clases de idiomas,Lactario en la oficina,Licencia de paternidad / maternidad extendida"
896,GBA,10001+,Producto basado en Software,2401,2785,4568,4451,2704,"OpenShift,Windows Server","C++,Clojure,CSS,Matlab","Cordova,Django","MongoDB,Percona Server",Puppeteer,"Eclipse,Komodo",Cuota para universidad / posgrados
897,San Luis,51-100,Otras industrias,4388,8491,2303,7776,5365,Windows Server,"C#,Elixir,HTML,Javascript,Perl","Drupal,Flutter,Node.js,SAP",Redis,"HP UFT,Puppeteer","Sublime Text,TextMate,Vi",Vacaciones flexibles (adicionales a las reglamentarias)
898,Santa Fe,201-500,Servicios / Consultoría de Software / Digital,8271,1973,2698,5032,4711,"Arduino o similar,Linux,Windows Server",".NET,Go,Elixir,Java","Akka,Rails","Microsoft Azure (Tables, CosmosDB, SQL, etc),MongoDB,Percona XtraBackup,Teradata","Ranorex,RSpec,Silktest","Atom,IntelliJ,WebStorm,Xcode",Clases de idiomas
899,Formosa,2-10,Producto basado en Software,2299,9403,3705,2812,1539,"Kubernetes,Microcontroladores,Solaris","C,Ruby","Akka,Drupal,Flask,Node.js",Amazon RDS/Aurora,JUnit,"Emacs,NetBeans,Visual Studio Code,WebStorm",
900,Neuquén,1001-2000,Servicios / Consultoría de Software / Digital,2679,5644,3609,8094,7251,Amazon Web Services,"C++,Groovy,Matlab,Smalltalk","Hibernate,React.js,Spring,TensorFlow","MariaDB,Microsoft SQL Server,Redis,Teradata",Cucumber,,Abono de celular
901,Río Negro,11-50,Producto basado en Software,7037,6139,3415,3445,4507,"Firebase,Google Cloud Platform/App Engine,Heroku,VMWare",Swift,"Laravel,Symfony,WordPress","IBM Db2,Percona XtraBackup,ProxySQL","HP UFT,PHPUnit,Selenium,Visual Studio Coded UI",,
902,Santa Fe,1001-2000,Producto basado en Software,6581,773,7109,2151,8440,"AIX,HP-UX,Microcontroladores,SAP","Ruby,Solidity","Angular,Drupal,Hibernate,jQuery,Spark,TensorFlow,Torch",,"Cypress,Katalon,Selenium,Silktest,Telerik Studio","Komodo,NetBeans,Vim,Visual Studio,Xcode","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
903,Mendoza,2-10,Producto basado en Software,9980,2801,624,6928,4677,SAP,".NET,C++,Javascript,Perl,TypeScript","Flutter,Hibernate,React.js,SwiftUI","ElasticSearch,Google Cloud Storage",,Visual Studio Code,"Capacitaciones y/o cursos,Cuota para universidad / posgrados"
904,Formosa,1 (solamente yo),Otras industrias,8121,3640,1544,9880,5997,"AIX,Arduino o similar,Kubernetes",Arduino,"Drupal,SwiftUI,SAP,Vue.js","Apache Hive,ElasticSearch,IBM Db2,Oracle,Teradata","Appium,HP UFT","Eclipse,Vi,Visual Studio,Xcode",
905,Santa Fe,51-100,Producto basado en Software,746,2619,5559,4728,1779,SAP,"Assembler,Go",".NET Core,Vue.js","Aerospike,Apache HBase","Cucumber,Karma,Selenium","Emacs,IntelliJ,Komodo,NetBeans,Vi","Estacionamiento gratuito / subvencionado,Licencia de paternidad / maternidad extendida"
906,Mendoza,10001+,Producto basado en Software,9402,8123,9282,773,3347,"HP-UX,IBM Cloud / Watson,Mainframe,Windows Server","C,C#,Go,HTML,Rust,SQL",".NET Core,jQuery","Apache HBase,Redis",JUnit,IntelliJ,
907,Formosa,51-100,Producto basado en Software,9561,1899,1833,493,7539,"Azure,Docker,Serverless,VMWare","Assembler,Java,R,Rust,Solidity","jQuery,Node.js","Apache Hive,SQLite","JUnit,Katalon",,Abono de Internet
908,Santa Cruz,201-500,Servicios / Consultoría de Software / Digital,3989,8074,732,4714,9515,"AIX,OpenShift","CSS,Elixir,Java","Drupal,Flutter,TensorFlow,Vue.js",,"Mocha,TFS","Komodo,NetBeans,PyCharm,TextMate,Vim,Visual Studio,Zend","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Lactario en la oficina,Vacaciones flexibles (adicionales a las reglamentarias)"
909,Tierra del Fuego,10001+,Servicios / Consultoría de Software / Digital,6046,4595,9550,8240,7593,"AIX,Amazon Web Services,Heroku,HP-UX,SAP","Arduino,Bash/Shell,CSS,Dart,PHP,SQL",".NET Core,Laravel,SAP","Cassandra,Google Cloud Storage","JUnit,Katalon,Mocha",IntelliJ,Horarios flexibles
910,Tierra del Fuego,11-50,Otras industrias,6307,3638,7748,5283,5297,Firebase,"Bash/Shell,Clojure,Dart,HTML,Javascript,Perl,Scala,SQL","Akka,Cordova,Hadoop","Amazon Redshift,Percona Server,SQLite","HP LoadRunner,Jest,PHPUnit",Xcode,"Vacaciones flexibles (adicionales a las reglamentarias),Viáticos"
911,Catamarca,11-50,Producto basado en Software,8242,2247,4416,9433,7859,"Microcontroladores,Mainframe,Windows Server","Ruby,SQL","Akka,Flutter,TensorFlow",Aerospike,"Cypress,NUnit,SoapUI,Test Complete,Visual Studio Coded UI",Notepad++,"Horarios flexibles,Lactario en la oficina,Stock options / RSUs"
912,La Pampa,5001-10000,Producto basado en Software,4335,1662,4590,4119,6870,"AIX,Kubernetes,VMWare","CSS,Dart,Objective-C,Ruby",Hadoop,"Microsoft Azure (Tables, CosmosDB, SQL, etc),Microsoft SQL Server,Teradata","HP UFT,Ranorex,Xunit",NetBeans,Capacitaciones y/o cursos
913,Santa Cruz,501-1000,Otras industrias,1772,1115,6975,2378,3946,"Mainframe,Windows Server",Kotlin,"Akka,Angular,Vue.js","Google Cloud Storage,Percona XtraBackup","HP UFT,JUnit,Katalon,Postman,TFS","TextMate,Vi,Visual Studio Code",
914,San Juan,5001-10000,Otras industrias,5662,4207,4046,1663,2132,"Arduino o similar,Linux,Mainframe","Perl,SQL","Cordova,SAP","HANA,Informix","Jest,JUnit,Karma,Test Complete","Visual Studio Code,WebStorm","Capacitaciones y/o cursos,Viáticos"
915,Catamarca,501-1000,Servicios / Consultoría de Software / Digital,7239,1909,2379,2815,900,,"C++,Clojure,Delphi,HTML,Rust,Smalltalk,SQL","Node.js,Symfony","Aerospike,Apache Hive,Percona Server,ProxySQL","Cucumber,Jest,OpenQA","IntelliJ,PyCharm",Cuota para universidad / posgrados
916,Catamarca,501-1000,Producto basado en Software,1881,6116,7338,6802,3562,"AIX,Amazon Web Services,Arduino o similar,Azure,Heroku,Linux,Microcontroladores","Perl,PHP,Rust","Angular,Flutter","Aerospike,Cassandra","Appium,Katalon,SoapUI,Telerik Studio","Emacs,IPython / Jupyter,PyCharm,Vi",
917,Río Negro,10001+,Otras industrias,3878,2851,5723,8507,1506,"IBM Cloud / Watson,SAP","Python,SQL,Swift","Flutter,Rails,Spark,Spring","Aerospike,Amazon RDS/Aurora,HANA,Neo4j,Percona XtraBackup","Telerik Studio,Watir","Vim,Visual Studio",Abono de celular
918,Chaco,5001-10000,Otras industrias,2173,8865,3570,2990,1662,AIX,"Assembler,Elixir,Erlang","Drupal,Flutter,SwiftUI,WordPress","Amazon Redshift,Cassandra,MariaDB,Oracle","OpenQA,Puppeteer,Visual Studio Coded UI","Atom,Nano,Visual Studio,Visual Studio Code",
919,Tierra del Fuego,10001+,Producto basado en Software,3518,3139,8641,2772,3798,Azure,"Bash/Shell,Ruby","Akka,Drupal,Rails","Amazon Redshift,MongoDB",Cucumber,"Eclipse,Komodo,PHPStorm","Cuota para universidad / posgrados,Stock options / RSUs,Viáticos"
920,Corrientes,2-10,Producto basado en Software,5748,8000,8758,6939,4216,"AIX,*BSD,OpenStack,VMWare","Bash/Shell,C++,Dart,Go,Java,Perl,R,Ruby","Hibernate,React.js,Spring","Aerospike,Microsoft Azure (Tables, CosmosDB, SQL, etc),Microsoft SQL Server,Neo4j,Redis","Appium,HP UFT,Puppeteer,Silktest","Android Studio,Coda,IPython / Jupyter,PHPStorm,Vim,WebStorm",
921,Neuquén,1001-2000,Otras industrias,5020,1048,1876,1875,341,"IBM Cloud / Watson,Mainframe",Solidity,Django,"Microsoft Azure (Tables, CosmosDB, SQL, etc),Percona XtraDB Cluster","Katalon,NUnit,Postman","Vim,WebStorm,Zend",Lactario en la oficina
922,La Pampa,1 (solamente yo),Servicios / Consultoría de Software / Digital,639,3735,2439,3895,8152,"Azure,Linux,Microcontroladores,OpenShift,SAP","Matlab,Solidity","jQuery,Spark","Informix,MariaDB,SQLite","RSpec,Xunit","Emacs,Nano,RStudio,WebStorm","Capacitaciones y/o cursos,Comidas pagas / subvencionadas,Lactario en la oficina,Sueldo divido en dos pagos por mes"
923,Catamarca,2001-5000,Producto basado en Software,1400,6299,8953,1836,8762,"Firebase,Microcontroladores","Bash/Shell,Objective-C,Smalltalk,TypeScript","Node.js,Spring","Aerospike,Google Cloud Storage,Microsoft SQL Server,Percona Server",,,"Abono de Internet,Estacionamiento gratuito / subvencionado"
924,La Pampa,2001-5000,Servicios / Consultoría de Software / Digital,631,7147,2602,4189,7525,"Heroku,Mainframe,VMWare","Delphi,Ruby",.NET Core,"Amazon Redshift,Cassandra,MySQL","HP LoadRunner,JUnit,Mocha,Postman","IntelliJ,Nano,PHPStorm,Visual Studio Code,Zend",Vacaciones flexibles (adicionales a las reglamentarias)
925,La Pampa,5001-10000,Servicios / Consultoría de Software / Digital,3158,2275,8744,4133,1910,,"Javascript,Matlab","Flutter,Torch","Cassandra,ElasticSearch,Neo4j,Oracle,Percona XtraBackup,Percona Server,PostgreSQL,SQLite","Cucumber,Cypress","Atom,Emacs,Zend",
926,Neuquén,2-10,Producto basado en Software,5257,7113,6331,6413,9067,Amazon Web Services,"Matlab,Smalltalk","Hadoop,jQuery","Amazon RDS/Aurora,Apache Hive,Microsoft SQL Server,ProxySQL",TFS,"Eclipse,IPython / Jupyter,Sublime Text",
927,Chubut,1 (solamente yo),Servicios / Consultoría de Software / Digital,5017,5888,2080,1071,2165,"Arduino o similar,Azure,Google Cloud Platform/App Engine,Mainframe","Erlang,Objective-C,Solidity","Angular,Bootstrap,React.js,SwiftUI","Percona Server,Teradata","Appium,Visual Studio Coded UI,Watir","IntelliJ,Komodo,PyCharm,RStudio",Lactario en la oficina
928,Santiago del Estero,10001+,Producto basado en Software,1415,7231,4600,5253,3681,Firebase,"Dart,Delphi,Javascript,R","Akka,Rails,SAP,Spark",HANA,"HP UFT,PHPUnit,Silktest","Atom,Coda,RStudio,Visual Studio Code","Comidas pagas / subvencionadas,Licencia de paternidad / maternidad extendida"
929,Chaco,1 (solamente yo),Otras industrias,8129,516,730,7728,1286,"Heroku,VMWare","COBOL,Dart,Delphi,Objective-C,R,Ruby",".NET Core,Akka,Flask,Hibernate","Aerospike,Apache Hive,Informix,Neo4j",,"Atom,Nano,TextMate,Xcode",Descuento en gimnasios / Clases de gimnasia online
930,Tierra del Fuego,51-100,Producto basado en Software,9141,7714,3685,3333,9550,,"C#,Perl",Torch,"Apache HBase,MariaDB,MySQL,Percona XtraBackup,Percona XtraDB Cluster","Karma,PHPUnit,SoapUI","Android Studio,Eclipse,Nano","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
931,Santa Fe,5001-10000,Servicios / Consultoría de Software / Digital,7188,6879,8000,5033,6218,"Linux,OpenShift","ABAP,C,Groovy,Javascript,Perl,R,Ruby",,"Cassandra,Percona XtraDB Cluster,Sybase","NUnit,Watir",Notepad++,"Comidas pagas / subvencionadas,Estacionamiento gratuito / subvencionado"
932,Provincia de Buenos Aires,2001-5000,Servicios / Consultoría de Software / Digital,6428,944,5427,5042,7645,"*BSD,IBM Cloud / Watson","Delphi,Erlang","Drupal,Hadoop","ElasticSearch,HANA,Microsoft Azure (Tables, CosmosDB, SQL, etc),Percona XtraDB Cluster","Cypress,Katalon,Selenium,TFS","Atom,Emacs,IntelliJ",
933,Entre Ríos,101-200,Otras industrias,4262,7573,444,6117,7555,Arduino o similar,"C++,Dart,Erlang,Perl,Smalltalk","CodeIgniter,Django,Drupal,Spark,TensorFlow,Torch,WordPress","Amazon DynamoDB,Amazon RDS/Aurora,Apache Hive,Percona Server","Cucumber,Lippia,Silktest","Nano,PHPStorm,TextMate,Vi",
934,Catamarca,101-200,Otras industrias,4924,2625,8053,8292,2186,"*BSD,HP-UX,Kubernetes,Linux,Serverless,VMWare","Clojure,COBOL,Python,TypeScript","Hadoop,jQuery,Node.js","Aerospike,ElasticSearch",Silktest,"Atom,Coda,IntelliJ,Komodo,RStudio,WebStorm","Cuota para universidad / posgrados,Estacionamiento gratuito / subvencionado,Vacaciones flexibles (adicionales a las reglamentarias)"
935,Jujuy,51-100,Producto basado en Software,3732,762,5174,7157,5478,"HP-UX,IBM Cloud / Watson,SAP",VBA,"Bootstrap,Hadoop,Spark","Aerospike,Neo4j","Cypress,Karma",,"Lactario en la oficina,Vacaciones flexibles (adicionales a las reglamentarias)"
936,Santiago del Estero,2-10,Producto basado en Software,9254,3953,7956,9768,8270,"Azure,Docker,SAP","COBOL,Erlang,R","jQuery,Node.js,SwiftUI",Google Cloud Storage,"Mocha,Puppeteer","Emacs,IPython / Jupyter,Notepad++,Visual Studio Code,WebStorm,Zend",Viáticos
937,Chaco,1001-2000,Servicios / Consultoría de Software / Digital,9987,6855,9227,4262,577,"SAP,VMWare","Groovy,HTML,Kotlin,Objective-C,PHP","Akka,CodeIgniter,SAP,Torch","Cassandra,HANA,Microsoft SQL Server,Percona Server",Cypress,"Atom,Coda,IntelliJ,IPython / Jupyter,Visual Studio Code","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Lactario en la oficina"
938,La Rioja,201-500,Servicios / Consultoría de Software / Digital,2833,2275,9881,69,54,,"CSS,Elixir",,"Apache HBase,Amazon RDS/Aurora",,"Android Studio,Emacs,RStudio","Abono de Internet,Capacitaciones y/o cursos"
939,Corrientes,1 (solamente yo),Producto basado en Software,6371,774,822,192,5568,Microcontroladores,"Clojure,COBOL,CSS,HTML,R,Swift",Flutter,"Amazon RDS/Aurora,Oracle,Redis","Test Complete,Xunit","IPython / Jupyter,TextMate,Visual Studio,Visual Studio Code,Zend","Lactario en la oficina,Vacaciones flexibles (adicionales a las reglamentarias)"
940,Río Negro,11-50,Otras industrias,6397,7114,8232,8756,1714,"Google Cloud Platform/App Engine,IBM Cloud / Watson,Kubernetes","C#,CSS","CodeIgniter,Hibernate,Symfony",,"Jest,Telerik Studio,Watir","Android Studio,IntelliJ,Nano,Vi,Visual Studio Code,WebStorm,Zend",Sueldo divido en dos pagos por mes
941,San Luis,101-200,Servicios / Consultoría de Software / Digital,1708,5065,9838,8591,3563,"Azure,Docker",".NET,Rust,Swift,VBA",,"Microsoft SQL Server,Percona XtraBackup,ProxySQL,Teradata","Katalon,Ranorex,Visual Studio Coded UI",Xcode,Stock options / RSUs
942,Santa Fe,101-200,Servicios / Consultoría de Software / Digital,6245,2567,8402,77,5624,"Google Cloud Platform/App Engine,Microcontroladores","Kotlin,R,Smalltalk,Solidity,Swift","Akka,Drupal,Node.js,Symfony",Percona XtraDB Cluster,"Appium,Cypress,PHPUnit","Nano,Visual Studio Code",Abono de celular
943,Tierra del Fuego,2001-5000,Otras industrias,9687,5520,8610,5962,6427,"Arduino o similar,Microcontroladores","ABAP,Perl,Swift",Symfony,Aerospike,"NUnit,Postman","Sublime Text,Visual Studio Code",Viáticos
944,Santa Fe,1 (solamente yo),Servicios / Consultoría de Software / Digital,4824,8623,1277,5189,2502,"Kubernetes,Mainframe,SAP,Windows Server","HTML,SQL",SAP,Oracle,"Cypress,HP UFT,Lippia,Visual Studio Coded UI,Xunit","Komodo,Visual Studio Code","Capacitaciones y/o cursos,Licencia de paternidad / maternidad extendida,Stock options / RSUs"
945,Neuquén,1001-2000,Producto basado en Software,2612,1748,831,3943,6599,,"Bash/Shell,Dart,R,Scala,Solidity","Flutter,Hadoop,Laravel","ElasticSearch,Microsoft SQL Server","JUnit,Mocha","IntelliJ,Komodo,Notepad++,Sublime Text,WebStorm,Zend","Estacionamiento gratuito / subvencionado,Horarios flexibles,Lactario en la oficina"
946,Neuquén,101-200,Producto basado en Software,7727,1962,5289,7537,7905,"Firebase,OpenShift,SAP,Solaris","Delphi,Java,Ruby","Akka,SAP,Symfony","Google Cloud Storage,Informix",JUnit,"IPython / Jupyter,PyCharm,Xcode",Cuota para universidad / posgrados
947,Neuquén,1 (solamente yo),Otras industrias,3401,5581,8230,1636,3420,"Heroku,HP-UX,Microcontroladores,Solaris",".NET,ABAP,Ruby,SQL","Laravel,Torch",,"Mocha,RSpec,Test Complete",,"Capacitaciones y/o cursos,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Licencia de paternidad / maternidad extendida"
948,Santa Cruz,5001-10000,Otras industrias,7337,1819,9045,2297,1577,Docker,"PHP,Python",,"Amazon RDS/Aurora,Apache Hive,MongoDB,Teradata","HP LoadRunner,Mocha,Visual Studio Coded UI","Komodo,TextMate",Licencia de paternidad / maternidad extendida
949,Río Negro,11-50,Producto basado en Software,8073,6915,2224,6437,3004,"Kubernetes,Microcontroladores,Solaris","ABAP,Dart,Matlab,PHP,Ruby,Rust",Flutter,"Cassandra,Neo4j","Jest,JUnit,Watir",Notepad++,
950,Chubut,1001-2000,Otras industrias,4487,4512,2828,1680,3037,Amazon Web Services,"CSS,Elixir,Kotlin,Perl,Scala","Akka,Cordova,Flutter,Hibernate,Spring,Symfony",Apache HBase,"Jest,Postman,Silktest",Xcode,Abono de celular
951,Jujuy,1 (solamente yo),Producto basado en Software,5416,3608,663,6322,9152,"Arduino o similar,IBM Cloud / Watson,Linux","Assembler,Erlang,Matlab","Node.js,React.js","Amazon DynamoDB,MongoDB","Mocha,Test Complete","Android Studio,IPython / Jupyter,Komodo","Abono de Internet,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Vacaciones flexibles (adicionales a las reglamentarias)"
952,Entre Ríos,2-10,Otras industrias,7439,9208,8573,3913,2683,"*BSD,VMWare","Assembler,Delphi,Javascript","Flutter,Hadoop","Amazon DynamoDB,Apache HBase,Cassandra,Percona Server,ProxySQL,Teradata","Cypress,NUnit,Postman,Silktest","Android Studio,Coda,IPython / Jupyter,Vim","Clases de idiomas,Stock options / RSUs"
953,Neuquén,11-50,Servicios / Consultoría de Software / Digital,2550,7131,8930,3854,6615,Mainframe,"C++,Groovy",Akka,"ElasticSearch,Informix","Appium,HP LoadRunner,Jest,Karma,NUnit",RStudio,Descuento en gimnasios / Clases de gimnasia online
954,San Juan,2001-5000,Otras industrias,8093,277,2595,8943,5786,"Firebase,Kubernetes",.NET,".NET Core,SAP,Torch","Microsoft Azure (Tables, CosmosDB, SQL, etc),MongoDB","RSpec,Telerik Studio","Visual Studio Code,WebStorm,Xcode","Descuento en gimnasios / Clases de gimnasia online,Viáticos"
955,Santa Fe,101-200,Servicios / Consultoría de Software / Digital,5142,4776,4769,4432,7359,"Microcontroladores,Windows Server",".NET,TypeScript","CodeIgniter,Flask,Node.js,React.js,Torch,WordPress","Apache HBase,Amazon RDS/Aurora,Oracle,ProxySQL","Appium,HP LoadRunner,PHPUnit",Android Studio,Sueldo divido en dos pagos por mes
956,Neuquén,501-1000,Servicios / Consultoría de Software / Digital,5686,4069,1279,2412,2436,"Arduino o similar,Azure,*BSD,Google Cloud Platform/App Engine",".NET,Go,Python,Rust,Scala","Cordova,Hadoop","Amazon RDS/Aurora,Oracle,Percona XtraBackup",OpenQA,"Atom,RStudio,Xcode","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
957,Tierra del Fuego,51-100,Servicios / Consultoría de Software / Digital,7160,4986,3676,1567,5899,Windows Server,"Arduino,C,Elixir","Rails,SwiftUI,SAP",PostgreSQL,"NUnit,TFS,Visual Studio Coded UI","Atom,IPython / Jupyter,WebStorm",Clases de idiomas
958,Mendoza,1 (solamente yo),Producto basado en Software,1621,282,7509,6705,4873,"Arduino o similar,OpenStack,Serverless,VMWare","Javascript,SQL,TypeScript","CodeIgniter,Spark","Microsoft SQL Server,Oracle,Percona XtraBackup",Karma,Vim,Sueldo divido en dos pagos por mes
959,Chubut,1001-2000,Producto basado en Software,5616,6759,849,8473,8654,"Microcontroladores,OpenShift,Serverless,Windows Server","Clojure,Kotlin","Akka,React.js,SwiftUI","ElasticSearch,MongoDB,Percona XtraDB Cluster","Cypress,HP LoadRunner,TFS","Nano,TextMate,Visual Studio Code","Sueldo divido en dos pagos por mes,Vacaciones flexibles (adicionales a las reglamentarias)"
960,Entre Ríos,2-10,Servicios / Consultoría de Software / Digital,4148,4319,6740,6612,1902,"Google Cloud Platform/App Engine,OpenStack","Clojure,Matlab,Ruby","Drupal,Torch",Oracle,"Jest,Puppeteer,Watir","Android Studio,Sublime Text,Vim",Horarios flexibles
961,Jujuy,10001+,Producto basado en Software,6637,5173,9274,9225,89,,"Bash/Shell,SQL,Swift","Angular,SwiftUI,Spring,Symfony",Amazon RDS/Aurora,"Lippia,PHPUnit,Silktest,SoapUI","IntelliJ,Nano,Visual Studio,Visual Studio Code,Zend","Capacitaciones y/o cursos,Comidas pagas / subvencionadas"
